open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1746720000000,100775.97000000,101739.22000000,100608.91000000,101317.99000000,995.08002000,1746734399999,100691526.95140830,89799,494.62774000,50057702.12156610,0
1746734400000,101326.02000000,104143.23000000,101300.00000000,103256.01000000,1851.25409000,1746748799999,190101802.80586520,403976,1065.92092000,109428262.81508850,0
1746748800000,103256.00000000,103256.00000000,102323.00000000,102427.59000000,625.19767000,1746763199999,64249659.97918850,449742,284.57123000,29247893.94197630,0
1746763200000,102427.61000000,104369.93000000,102352.00000000,103659.77000000,1264.24159000,1746777599999,130837222.77575490,377767,679.46184000,70338693.13726520,0
1746777600000,103659.77000000,103950.01000000,102418.95000000,102939.99000000,1485.35197000,1746791999999,153098951.05970860,666425,708.76623000,73060035.81316810,0
1746792000000,102940.00000000,103780.00000000,102416.08000000,102897.99000000,960.00583000,1746806399999,98950364.61236470,617234,465.15368000,47936382.56350280,0
1746806400000,102898.00000000,103381.99000000,102320.03000000,103200.02000000,577.61063000,1746820799999,59460461.60029280,230329,288.45451000,29694074.46320580,0
1746820800000,103200.02000000,103428.31000000,102746.52000000,102977.98000000,260.30717000,1746835199999,26820972.57780840,34405,116.03537000,11956698.70952830,0
1746835200000,102977.97000000,103271.67000000,102825.00000000,103228.41000000,202.10982000,1746849599999,20825416.07136340,81300,94.90522000,9779831.77218220,0
1746849600000,103228.40000000,104114.67000000,103048.01000000,103767.00000000,585.10697000,1746863999999,60625146.32380450,142625,323.33882000,33507818.77355780,0
1746864000000,103767.00000000,104089.73000000,103378.00000000,103437.88000000,625.03728000,1746878399999,64820491.95210710,198025,280.23719000,29071623.54528640,0
1746878400000,103437.88000000,103831.55000000,103119.33000000,103148.01000000,530.56147000,1746892799999,54955011.71868540,125622,260.26319000,26966029.08478270,0
1746892800000,103148.01000000,103628.01000000,103027.68000000,103204.21000000,705.00534000,1746907199999,72836493.70523960,152521,360.08978000,37206324.35014970,0
1746907200000,103204.21000000,104989.99000000,103082.00000000,104824.01000000,851.95842000,1746921599999,88657765.00459340,252678,492.97491000,51307323.06700750,0
1746921600000,104824.01000000,104980.38000000,103466.00000000,104018.00000000,868.74727000,1746935999999,90529413.56514090,315514,428.95395000,44705400.09222340,0
1746936000000,104018.00000000,104408.61000000,103362.01000000,103402.00000000,616.59523000,1746950399999,64033470.40614440,184801,250.58681000,26029719.90121170,0
