open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760483400000,113536.02000000,113565.40000000,113439.10000000,113497.99000000,9.48380000,1760483699999,1076495.69474960,1556,3.98154000,451935.00166820,0
1760483700000,113502.06000000,113511.00000000,113403.15000000,113436.45000000,9.10126000,1760483999999,1032535.94048920,2184,4.07488000,462256.52373820,0
1760484000000,113439.00000000,113510.97000000,113403.96000000,113423.12000000,4.36154000,1760484299999,494812.86314900,1268,1.66554000,188956.99442160,0
1760484300000,113423.12000000,113577.32000000,113418.00000000,113493.06000000,6.97964000,1760484599999,792327.47309410,1349,4.61408000,523850.85683950,0
1760484600000,113493.07000000,113547.99000000,113447.68000000,113526.01000000,5.66368000,1760484899999,642775.09789060,2302,2.98593000,338860.33431540,0
1760484900000,113526.01000000,113537.21000000,113442.01000000,113461.59000000,8.00479000,1760485199999,908307.15921840,1924,5.30972000,602478.19371780,0
1760485200000,113463.08000000,113463.09000000,113330.35000000,113330.99000000,5.80005000,1760485499999,657696.35680600,1108,1.00346000,113765.36488150,0
1760485500000,113331.00000000,113369.99000000,113267.22000000,113311.06000000,5.49549000,1760485799999,622770.19691560,2391,2.41724000,273935.51861160,0
1760485800000,113311.06000000,113311.07000000,113202.13000000,113202.13000000,3.49865000,1760486099999,396170.09308520,1633,0.72468000,82067.74064440,0
1760486100000,113202.14000000,113202.14000000,113064.10000000,113100.12000000,12.04188000,1760486399999,1362444.43238500,1483,2.89640000,327660.20736990,0
1760486400000,113090.14000000,113100.99000000,113001.44000000,113005.00000000,7.44389000,1760486699999,841481.75693260,2481,3.35984000,379787.74285120,0
1760486700000,113005.00000000,113106.88000000,113003.01000000,113085.00000000,10.42196000,1760486999999,1178331.97459250,2066,4.54080000,513359.18011510,0
1760487000000,113084.99000000,113084.99000000,112824.61000000,112854.74000000,11.82600000,1760487299999,1335162.78737080,3816,4.99490000,563892.06057840,0
1760487300000,112851.58000000,112901.99000000,112800.00000000,112811.99000000,3.79973000,1760487599999,428782.16833100,1720,1.37504000,155157.21819140,0
1760487600000,112812.00000000,112868.25000000,112792.19000000,112820.40000000,6.85081000,1760487899999,772966.60936300,2141,2.91697000,329114.78300450,0
1760487900000,112820.39000000,113080.97000000,112710.72000000,112888.00000000,23.01458000,1760488199999,2597539.07054580,5389,11.05266000,1247332.51130230,0
1760488200000,112887.99000000,113060.17000000,112666.67000000,112759.99000000,22.99128000,1760488499999,2594213.06614340,5977,12.68438000,1431239.14229620,0
1760488500000,112760.02000000,112986.89000000,112735.01000000,112906.98000000,8.17852000,1760488799999,923226.94053870,3367,3.75108000,423435.90004940,0
1760488800000,112904.20000000,112999.99000000,112863.69000000,112990.50000000,11.49386000,1760489099999,1298255.34806200,2631,3.44854000,389486.51143420,0
